charger_id,station_id,serial_number,charger_type,max_power_kw,status
1,4,SN-6b96ad88,DC Fast 150kW,150,Available
2,6,SN-d6496ba6,DC Fast 150kW,150,Offline
3,2,SN-e53976a5,Level 2 AC,22,Offline
4,10,SN-fb7cf8ea,Level 2 AC,22,Offline
5,14,SN-48283cc0,DC Fast 150kW,150,Occupied
6,17,SN-268fe8d6,Level 2 AC,22,Maintenance
7,22,SN-81df3fdc,DC Ultra-Fast 350kW,350,Occupied
8,6,SN-a3453b11,Level 2 AC,22,Available
9,13,SN-283843d6,DC Ultra-Fast 350kW,350,Occupied
10,19,SN-1103a89d,DC Fast 150kW,150,Occupied
11,15,SN-7778b740,Level 2 AC,22,Offline
12,9,SN-a75c6052,DC Fast 150kW,150,Available
13,10,SN-8f337d77,DC Fast 150kW,150,Occupied
14,15,SN-e5578307,Level 2 AC,22,Offline
15,10,SN-9dce6732,DC Ultra-Fast 350kW,350,Maintenance
16,9,SN-dee4cc08,DC Ultra-Fast 350kW,350,Maintenance
17,7,SN-6fdaa0fc,DC Fast 150kW,150,Maintenance
18,4,SN-e6b42c5c,DC Fast 150kW,150,Occupied
19,19,SN-66abc879,DC Fast 150kW,150,Offline
20,10,SN-7cf072e0,DC Ultra-Fast 350kW,350,Offline
21,22,SN-cbbc0fde,Level 2 AC,22,Maintenance
22,1,SN-d2d8b78b,DC Fast 150kW,150,Available
23,24,SN-8f55761c,DC Ultra-Fast 350kW,350,Maintenance
24,25,SN-b1725218,DC Fast 150kW,150,Occupied
25,12,SN-28e494d8,DC Ultra-Fast 350kW,350,Occupied
26,7,SN-57d95272,DC Ultra-Fast 350kW,350,Offline
27,25,SN-159fd570,DC Ultra-Fast 350kW,350,Occupied
28,4,SN-6223853e,DC Ultra-Fast 350kW,350,Available
29,15,SN-b54570a5,DC Fast 150kW,150,Available
30,12,SN-801c451f,DC Ultra-Fast 350kW,350,Occupied
31,10,SN-447b8e7e,Level 2 AC,22,Offline
32,14,SN-537512c4,DC Ultra-Fast 350kW,350,Occupied
33,5,SN-09efcceb,Level 2 AC,22,Offline
34,17,SN-c8d5f416,DC Ultra-Fast 350kW,350,Offline
35,9,SN-2b93dcc9,Level 2 AC,22,Maintenance
36,24,SN-b0af606d,DC Fast 150kW,150,Offline
37,15,SN-4e49c740,Level 2 AC,22,Available
38,25,SN-7e8fceeb,Level 2 AC,22,Occupied
39,24,SN-6e4d1743,DC Ultra-Fast 350kW,350,Maintenance
40,12,SN-9b1becd2,DC Ultra-Fast 350kW,350,Available
41,1,SN-9bf1f2ba,DC Fast 150kW,150,Offline
42,4,SN-69503481,DC Ultra-Fast 350kW,350,Maintenance
43,22,SN-06b0ecae,DC Fast 150kW,150,Offline
44,13,SN-ba9b13ef,DC Ultra-Fast 350kW,350,Offline
45,22,SN-d124cae8,Level 2 AC,22,Occupied
46,1,SN-4462c8c7,DC Fast 150kW,150,Offline
47,8,SN-119046d6,DC Ultra-Fast 350kW,350,Available
48,15,SN-d4d86025,DC Ultra-Fast 350kW,350,Offline
49,14,SN-18f27e5f,DC Ultra-Fast 350kW,350,Available
50,2,SN-32eabf8a,Level 2 AC,22,Available
51,16,SN-a48770df,DC Fast 150kW,150,Available
52,8,SN-8a9fc198,Level 2 AC,22,Occupied
53,15,SN-34777e43,DC Fast 150kW,150,Offline
54,24,SN-bdcda927,DC Ultra-Fast 350kW,350,Maintenance
55,24,SN-5f2a1dcd,DC Ultra-Fast 350kW,350,Occupied
56,21,SN-4df0ab39,DC Fast 150kW,150,Available
57,20,SN-7ffc6cd7,DC Fast 150kW,150,Maintenance
58,2,SN-975a5ac2,DC Fast 150kW,150,Offline
59,15,SN-32204df2,Level 2 AC,22,Maintenance
60,12,SN-410f5149,Level 2 AC,22,Available
61,12,SN-bb2159a3,DC Ultra-Fast 350kW,350,Offline
62,13,SN-121065cf,Level 2 AC,22,Offline
63,4,SN-3892942e,Level 2 AC,22,Maintenance
64,22,SN-853f791c,Level 2 AC,22,Occupied
65,21,SN-a5feb99c,DC Ultra-Fast 350kW,350,Available
66,11,SN-d79a67e4,Level 2 AC,22,Occupied
67,19,SN-4121343e,Level 2 AC,22,Occupied
68,25,SN-4429aa7f,Level 2 AC,22,Occupied
69,7,SN-dd396f1b,DC Ultra-Fast 350kW,350,Occupied
70,25,SN-5c6b2118,DC Fast 150kW,150,Occupied
71,1,SN-c5fecae4,DC Ultra-Fast 350kW,350,Offline
72,5,SN-ada5058d,Level 2 AC,22,Offline
73,4,SN-2fa4147f,Level 2 AC,22,Available
74,1,SN-865d10ba,Level 2 AC,22,Offline
75,19,SN-ba03f664,Level 2 AC,22,Offline
76,6,SN-a8c6d1e9,Level 2 AC,22,Offline
77,5,SN-e19a0d2f,Level 2 AC,22,Maintenance
78,4,SN-de7a7e89,DC Ultra-Fast 350kW,350,Available
79,15,SN-178c8071,DC Fast 150kW,150,Offline
80,19,SN-7e7c0d12,DC Ultra-Fast 350kW,350,Available
81,17,SN-8d091f69,DC Fast 150kW,150,Occupied
82,2,SN-37ca560d,DC Ultra-Fast 350kW,350,Offline
83,21,SN-2a7f0348,DC Fast 150kW,150,Available
84,16,SN-598d5d65,Level 2 AC,22,Maintenance
85,22,SN-b3992243,DC Fast 150kW,150,Available
86,23,SN-072853ea,DC Fast 150kW,150,Maintenance
87,3,SN-3e3f82b2,Level 2 AC,22,Offline
88,5,SN-b5c68022,DC Ultra-Fast 350kW,350,Available
89,9,SN-54a56fb0,Level 2 AC,22,Offline
90,20,SN-acd3c656,DC Fast 150kW,150,Offline
91,17,SN-f27fecab,DC Fast 150kW,150,Maintenance
92,23,SN-611e60b0,Level 2 AC,22,Available
93,21,SN-bad0ae24,DC Ultra-Fast 350kW,350,Occupied
94,15,SN-334ffa31,DC Fast 150kW,150,Occupied
95,11,SN-a79d9131,DC Fast 150kW,150,Maintenance
96,14,SN-948c48ad,DC Fast 150kW,150,Available
97,14,SN-2b2f99d0,DC Fast 150kW,150,Offline
98,9,SN-09a5243b,DC Ultra-Fast 350kW,350,Offline
99,22,SN-338aa356,Level 2 AC,22,Maintenance
100,3,SN-27189299,Level 2 AC,22,Available
