vehicle_id,customer_id,model_id,license_plate,vin
1,39,8,1715,XWAJN9Z765KWS6158
2,282,2,3NH T82,XR5MDUUM6Y8WL8321
3,26,11,DOF-461,7RLY46D94VJRV9022
4,277,1,G 549465,61ZS9J4P2N8J28008
5,48,4,9N 6566W,RUDBX9CRX99155624
6,86,7,A76 2EX,69TWUBWZ6NEBU6876
7,249,8,73A S84,TP33XP8X4W66F1284
8,110,7,U18-XVV,K4M1XWZX1JJA39565
9,31,3,TXJ 940,XA4J2JY69G9HH2814
10,195,1,AX 19292,VPBGFYB330YTR5129
11,200,5,2V 3950O,G84AWSXK6RXG07836
12,233,5,NAJ 7658,37NUHMHH8WFCM1496
13,217,12,258W0,151T77VN132643443
14,285,11,39V 111,9RB8BGJW4LGA51746
15,250,3,665YB,4GGBV5YC070UD9627
16,98,5,41U DO0,55GV2Y017MS1Z0642
17,112,1,YPP6618,E1RX8NMK1M6WJ6015
18,297,12,G06 3FR,KR7NY6VC4FYR52030
19,278,1,870 UJP,3M4M3S8D9E5308782
20,161,1,UAP-903,91B4K7WA7YE5C9111
21,26,10,KZX 651,9LD3BM585PAVF4262
22,245,9,1BE 962,2Y611B6J20HVT6723
23,272,3,0F 9279T,6KNT1FC8XZEWD8195
24,30,9,127BG,YBA34PJD1W3746459
25,42,3,FFZ-078,85FVLTCL07FTC3153
26,36,10,9HC P70,U0DWBRP96CM937354
27,35,11,SBI 217,WTAMEJAA5TYDX9831
28,121,7,406 3356,E01T33XZ8X7VY0686
29,62,10,0C 6325R,JF62XKAWXW9SB9907
30,127,10,016 UOW,M3JUHD6M08RPW0850
31,21,10,B52-81L,D9MF8XDE7UH455548
32,42,7,881 LOP,XJVP5CW6X57AH1624
33,299,10,238 WEP,2JT9XNTV82EMT0431
34,268,6,5KU 798,VWK9KAGE10NJW7540
35,134,4,ZTF 842,B0AF83L97D3LN7452
36,161,4,LO 8284,82SY0WL06JXJ00885
37,136,7,751-702,8K2SEVN69EHC25093
38,68,11,186-ROV,CYLZ4PS031JNN6565
39,154,8,376 ORC,VJAUT9604M5R63478
40,162,2,4NU6287,9CBRJY3K9WE219478
41,5,8,IJU 714,TBYF28HY9XUGX1959
42,289,2,DLQ 904,A40LW9NA2N4JJ0456
43,38,9,UCQ 3219,ALLKHP7N4JPYT2028
44,110,9,2FDG 83,C8TW589289VMB7545
45,136,3,JAX1322,EK9D96U883C731076
